mu_win,mu_n,ci,ok_ci,archetype_1,archetype_2,mu_wr,direction,mirror,playrate_1,playrate_2
0,2,(0.0% - 84.2%),FALSE,Karma/Master Yi (IO/SI),Master Yi/Viktor (IO/PZ),0,NEG,No,0.00215339625149541,0.0132128140369533
0,2,(0.0% - 84.2%),FALSE,Braum/Jax/Ornn (FR/RU),Jax/Ornn (FR/RU),0,NEG,No,0.000305729097434534,0.0569586601089991
0,2,(0.0% - 84.2%),FALSE,Championpile (DE/FR),Caitlyn/Teemo (BC/PZ),0,NEG,No,0.000358899375249236,0.00586202312907085
0,2,(0.0% - 84.2%),FALSE,Master Yi/Ryze (IO/RU),Jhin/Jinx (RU/PZ),0,NEG,No,0.0112986840356241,0.000146218263990429
0,2,(0.0% - 84.2%),FALSE,Jarvan IV/Shyvana (DE/SI),Trundle/Tryndamere (FR/SI),0,NEG,No,0.000731091319952147,0.017732287651203
0,2,(0.0% - 84.2%),FALSE,Kindred/Viego (SI/SH),Ryze (IO/RU),0,NEG,No,0.000332314236341885,0.0528512561478134
0,2,(0.0% - 84.2%),FALSE,Lissandra/Taliyah (FR/SH),Illaoi/Jarvan IV (BW/DE),0,NEG,No,0.00479861757277682,0.00333643493287252
0,2,(0.0% - 84.2%),FALSE,Aphelios/Lee Sin (IO/MT),Braum/Jax/Ornn (FR/RU),0,NEG,No,0.000398777083610262,0.000305729097434534
0,2,(0.0% - 84.2%),FALSE,Swain/Twisted Fate (BW/NX),Gwen/Illaoi (BW/SI),0,NEG,No,0.0154858434135318,0.00066462847268377
0,2,(0.0% - 84.2%),FALSE,Kayle/Zed (IO/MT),Teemo/Zoe (MT/PZ),0,NEG,No,0.0260002658513891,0.000957065000664629
0,2,(0.0% - 84.2%),FALSE,Illaoi/Twisted Fate (BW/IO),Teemo/Zoe (MT/PZ),0,NEG,No,0.038003456068058,0.000957065000664629
0,2,(0.0% - 84.2%),FALSE,Championpile (DE/FR),Gwen/Katarina (NX/SI),0,NEG,No,0.000358899375249236,0.0341884886348531
0,2,(0.0% - 84.2%),FALSE,Gwen/Katarina (NX/SI),Braum/Jax/Ornn (FR/RU),0,NEG,No,0.0341884886348531,0.000305729097434534
